REF,ROD,HORA,JOGO,ESTÁDIO,CIDADE,UF,DATA,DIA,TimeMandante,UF_M,Gols_M,Gols_V,TimeVisitante,UF_V,GolMandante,GolVisitante,ROD_NUM
1,1ª,18:30,Internacional                 RS  2  x  1  Bahia                            BA,Beira-Rio,Porto Alegre,RS,13/04,sab,Internacional,RS,2,1,Bahia,BA,Internacional RS - 2,Bahia BA - 1,1
10,1ª,18:30,Criciúma                       SC  1  x  1  Juventude                    RS,Heriberto Hulse,Criciúma,SC,13/04,sab,Criciúma,SC,1,1,Juventude,RS,Criciúma SC - 1,Juventude RS - 1,1
4,1ª,21:00,Fluminense                   RJ  2  x  2  Red Bull Bragantino    SP,Maracanã,Rio de Janeiro,RJ,13/04,sab,Fluminense,RJ,2,2,Red Bull Bragantino,SP,Fluminense RJ - 2,Red Bull Bragantino SP - 2,1
7,1ª,21:00,São Paulo                     SP  1  x  2  Fortaleza                      CE,Morumbis,São Paulo,SP,13/04,sab,São Paulo,SP,1,2,Fortaleza,CE,São Paulo SP - 1,Fortaleza CE - 2,1
9,1ª,16:00,Atlético                          GO 1  x  2  Flamengo                     RJ,Serra Dourada,Goiânia,GO,14/04,dom,Atlético,GO,1,2,Flamengo,RJ,Atlético GO - 1,Flamengo RJ - 2,1
5,1ª,16:00,Vasco da Gama           RJ  2  x  1  Grêmio                         RS,São Januário,Rio de Janeiro,RJ,14/04,dom,Vasco da Gama,RJ,2,1,Grêmio,RS,Vasco da Gama RJ - 2,Grêmio RS - 1,1
6,1ª,16:00,Corinthians                   SP  0  x  0  Atlético                         MG,Neo Química Arena,São Paulo,SP,14/04,dom,Corinthians,SP,0,0,Atlético,MG,Corinthians SP - 0,Atlético MG - 0,1
8,1ª,16:00,Athletico                       PR  4  x  0  Cuiabá                          MT,Ligga Arena,Curitiba,PR,14/04,dom,Athletico,PR,4,0,Cuiabá,MT,Athletico PR - 4,Cuiabá MT - 0,1
2,1ª,17:00,Cruzeiro                        MG 3  x  2  Botafogo                      RJ,Mineirão,Belo Horizonte,MG,14/04,dom,Cruzeiro,MG,3,2,Botafogo,RJ,Cruzeiro MG - 3,Botafogo RJ - 2,1
3,1ª,18:30,Vitória                           BA  0  x  1  Palmeiras                     SP,Manoel Barradas,Salvador,BA,14/04,dom,Vitória,BA,0,1,Palmeiras,SP,Vitória BA - 0,Palmeiras SP - 1,1
13,2ª,21:30,Bahia                            BA  2  x  1  Fluminense                  RJ,Arena Fonte Nova,Salvador,BA,16/04,ter,Bahia,BA,2,1,Fluminense,RJ,Bahia BA - 2,Fluminense RJ - 1,2
11,2ª,19:00,Grêmio                          RS  2  x  0  Athletico                       PR,Arena do Grêmio,Porto Alegre,RS,17/04,qua,Grêmio,RS,2,0,Athletico,PR,Grêmio RS - 2,Athletico PR - 0,2
17,2ª,19:00,Red Bull Bragantino     SP  2  x  1  Vasco da Gama           RJ,Nabi Abi Chedid,Bragança Paulista,SP,17/04,qua,Red Bull Bragantino,SP,2,1,Vasco da Gama,RJ,Red Bull Bragantino SP - 2,Vasco da Gama RJ - 1,2
12,2ª,20:00,Atlético                          MG 1  x  1  Criciúma                       SC,Arena MRV,Belo Horizonte,MG,17/04,qua,Atlético,MG,1,1,Criciúma,SC,Atlético MG - 1,Criciúma SC - 1,2
